GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pa-secure-evote,default,VotingSystem,395,0,8,0,102,0,10,0,6,0
pa-secure-evote,exception,VoteSubmissionException,0,9,0,0,0,4,0,2,0,2
pa-secure-evote,exception,AuthenticationException,0,4,0,0,0,2,0,1,0,1
pa-secure-evote,exception,EVotingException,0,9,0,0,0,4,0,2,0,2
pa-secure-evote,core,BallotBox,11,191,2,14,4,53,2,12,0,6
pa-secure-evote,core,RegistrationAuthority,85,214,6,10,19,53,8,11,5,6
pa-secure-evote,core,VotingServer,7,211,2,10,1,55,2,13,0,9
pa-secure-evote,core,TallyingAuthority,20,498,0,18,6,104,0,21,0,12
pa-secure-evote,util,LoggingUtil,0,17,0,0,0,9,0,5,0,5
pa-secure-evote,model,ElectionPhase,0,49,0,0,0,10,0,3,0,3
pa-secure-evote,model,CandidateManager,8,75,1,5,3,16,1,8,0,6
pa-secure-evote,model,ElectionManager,4,107,3,16,0,22,3,13,0,5
pa-secure-evote,model,Voter,119,191,7,9,29,63,5,12,1,8
pa-secure-evote,model,KeyShare,11,128,5,7,2,25,5,10,0,9
pa-secure-evote,crypto,CertificateRevocationList.RevocationInfo,0,15,0,0,0,6,0,3,0,3
pa-secure-evote,crypto,CertificateRevocationList,0,150,0,8,0,29,0,12,0,8
pa-secure-evote,crypto,MixNetwork,0,72,0,2,0,15,0,4,0,3
pa-secure-evote,crypto,CryptoUtils,0,205,0,2,0,47,0,7,0,6
